k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
5,8.826519269759978e-06,100,10000000000.0,1e-06,0.000225,3.353724608550917e-05,1.5e-05,8.660189085695533e-06,103.986975,5.00119,104.00706115059049,5.00706115108629,0.9518584498427791,0.00020801412230118097,1.001412230217258e-05,1.0014192259606155e-05,0.00020797480449414343
5,1.8241167512429113e-05,100,10000000000.0,1e-06,0.000165,2.8720443502843065e-05,5e-06,4.999987499984374e-06,103.814675,4.99746,104.01459266531388,5.01459266581042,0.9517895274373107,0.00020802918533062775,1.0029185331620839e-05,1.0029255243212979e-05,0.00020798986154261392
5,3.769778120311598e-05,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,5e-06,4.999987499984374e-06,104.309375,5.0181,104.03015708555101,5.030157086049098,0.9516471259202997,0.000208060314171102,1.0060314172098195e-05,1.0060383987517798e-05,0.00020802097802152992
5,7.79074424194442e-05,100,10000000000.0,1e-06,0.000185,3.0410999243694697e-05,1e-05,7.0710324564380276e-06,104.157985,5.05946,104.06232109574715,5.0623210962484135,0.9513529869126156,0.0002081246421914943,1.0124642192496827e-05,1.0124711803034492e-05,0.00020808528049051365
5,0.00016100601655137526,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,0.0,0.0,104.255275,5.13936,104.12878407231833,5.128784072826155,0.9507457604684583,0.00020825756814463664,1.025756814565231e-05,1.0257637306606441e-05,0.00020821815361858842
5,0.000332740192216499,100,10000000000.0,1e-06,0.00022,3.316259941560674e-05,1.5e-05,8.660189085695532e-06,103.686405,5.274725,104.26610357828889,5.266103578810334,0.9494936187496807,0.00020853220715657777,1.0532207157620668e-05,1.0532275277754652e-05,0.00020849268337644594
5,0.0006876515417729402,100,10000000000.0,1e-06,0.00025,3.535091936569684e-05,1e-05,7.071032456438027e-06,104.632085,5.55587,104.54974293887659,5.549742939426108,0.9469176797242755,0.00020909948587775318,1.1099485878852214e-05,1.1099551371525292e-05,0.0002090597359509987
5,0.0014211227076380076,100,10000000000.0,1e-06,0.000155,2.783666422184957e-05,1e-05,7.0710324564380276e-06,105.02061,6.179245,105.13528249112817,6.135282491735667,0.9416439244146855,0.00021027056498225632,1.2270564983471334e-05,1.2270623016310941e-05,0.00021023034616707962
5,0.0029369377184225672,100,10000000000.0,1e-06,0.00022,3.3162599415606735e-05,2e-05,9.999899999499995e-06,106.05846,7.40396,106.34264968829301,7.342649689020011,0.9309529176624575,0.000212685299376586,1.468529937804002e-05,1.4685333370111505e-05,0.00021264410506699515
5,0.006069569584339014,100,10000000000.0,1e-06,0.00019,3.081914177909566e-05,4.5e-05,1.4999662496203035e-05,108.953665,9.845715,108.82618392208649,9.826183923059386,0.9097075394089497,0.00021765236784417296,1.965236784611877e-05,1.9652315720810035e-05,0.00021760913029288427
5,0.012543566963660348,100,10000000000.0,1e-06,0.000235,3.427424506827248e-05,1.5e-05,8.660189085695532e-06,114.22758,14.936735,113.90898070461249,14.908980706088585,0.8691149669335521,0.00022781796140922497,2.9817961412177167e-05,2.981757920669815e-05,0.00022777038833058955
5,0.02592293736574172,100,10000000000.0,1e-06,0.000245,3.4995712237358446e-05,4.5e-05,1.499966249620304e-05,124.274615,25.05835,124.2007509321544,25.20075093464938,0.7970966298874032,0.00024840150186430883,5.040150186929876e-05,5.0399818383439436e-05,0.00024834451717868313
5,0.05357317289531737,100,10000000000.0,1e-06,0.000285,3.7743792535991926e-05,8e-05,1.9999199983999358e-05,144.80402,45.741015,144.56247040435642,45.56247040886724,0.6848250428937454,0.0002891249408087128,9.112494081773449e-05,9.111818618688853e-05,0.0002890468391286886
