count_bin,occurrences
1-4999,10690
5000-9999,65
10000-14999,45
15000-19999,40
20000-24999,38
25000-29999,16
30000-34999,19
35000-39999,21
40000-44999,32
45000-49999,23
50000-54998,23
54999-59998,32
59999-64998,21
64999-69998,19
69999-74998,16
74999-79998,39
79999-84998,39
84999-89998,45
89999-94998,64
94999-99998,1048
