count_bin,occurrences
1-4999,9383
5000-9999,43
10000-14999,23
15000-19999,16
20000-24999,11
25000-29999,8
30000-34999,10
35000-39999,12
40000-44999,8
45000-49999,8
50000-54998,8
54999-59998,8
59999-64998,12
64999-69998,10
69999-74998,8
74999-79998,11
79999-84998,16
84999-89998,23
89999-94998,43
94999-99998,778
