count_bin,occurrences
1-4999,10233
5000-9999,33
10000-14999,14
15000-19999,7
20000-24999,11
25000-29999,5
30000-34999,6
35000-39999,3
40000-44999,10
45000-49999,4
50000-54998,4
54999-59998,10
59999-64998,3
64999-69998,6
69999-74998,5
74999-79998,11
79999-84998,7
84999-89998,14
89999-94998,33
94999-99998,672
