count_bin,occurrences
1-4999,10259
5000-9999,20
10000-14999,12
15000-19999,7
20000-24999,11
25000-29999,8
30000-34999,6
35000-39999,1
40000-44999,9
45000-49999,9
50000-54998,9
54999-59998,9
59999-64998,1
64999-69998,6
69999-74998,8
74999-79998,11
79999-84998,7
84999-89998,12
89999-94998,20
94999-99998,559
