count_bin,occurrences
1-4999,10493
5000-9999,57
10000-14999,21
15000-19999,25
20000-24999,22
25000-29999,11
30000-34999,16
35000-39999,10
40000-44999,14
45000-49999,4
50000-54998,4
54999-59998,14
59999-64998,10
64999-69998,16
69999-74998,11
74999-79998,22
79999-84998,25
84999-89998,21
89999-94998,57
94999-99998,786
