count_bin,occurrences
1-4999,9888
5000-9999,12
10000-14999,11
15000-19999,2
20000-24999,2
25000-29999,5
30000-34999,7
35000-39999,2
40000-44999,5
45000-49999,7
50000-54998,7
54999-59998,5
59999-64998,2
64999-69998,7
69999-74998,5
74999-79998,2
79999-84998,2
84999-89998,11
89999-94998,12
94999-99998,709
