count_bin,occurrences
1-4999,10049
5000-9999,14
10000-14999,9
15000-19999,5
20000-24999,5
25000-29999,5
30000-34999,6
35000-39999,7
40000-44999,7
45000-49999,0
50000-54998,0
54999-59998,7
59999-64998,7
64999-69998,6
69999-74998,5
74999-79998,5
79999-84998,5
84999-89998,10
89999-94998,13
94999-99998,590
