count_bin,occurrences
1-4999,10073
5000-9999,11
10000-14999,9
15000-19999,8
20000-24999,7
25000-29999,5
30000-34999,5
35000-39999,7
40000-44999,9
45000-49999,2
50000-54998,3
54999-59998,8
59999-64998,7
64999-69998,5
69999-74998,5
74999-79998,7
79999-84998,8
84999-89998,11
89999-94998,9
94999-99998,565
