count_bin,occurrences
1-4999,10189
5000-9999,33
10000-14999,21
15000-19999,18
20000-24999,14
25000-29999,13
30000-34999,6
35000-39999,12
40000-44999,13
45000-49999,12
50000-54998,12
54999-59998,13
59999-64998,12
64999-69998,6
69999-74998,13
74999-79998,14
79999-84998,18
84999-89998,21
89999-94998,33
94999-99998,699
