count_bin,occurrences
1-4999,9609
5000-9999,50
10000-14999,31
15000-19999,24
20000-24999,20
25000-29999,16
30000-34999,22
35000-39999,13
40000-44999,19
45000-49999,17
50000-54998,17
54999-59998,18
59999-64998,12
64999-69998,22
69999-74998,16
74999-79998,20
79999-84998,23
84999-89998,31
89999-94998,50
94999-99998,868
