count_bin,occurrences
1-4999,10078
5000-9999,17
10000-14999,5
15000-19999,14
20000-24999,6
25000-29999,5
30000-34999,3
35000-39999,7
40000-44999,6
45000-49999,6
50000-54998,6
54999-59998,6
59999-64998,7
64999-69998,3
69999-74998,5
74999-79998,6
79999-84998,14
84999-89998,5
89999-94998,17
94999-99998,560
