count_bin,occurrences
1-4999,10053
5000-9999,45
10000-14999,26
15000-19999,17
20000-24999,12
25000-29999,8
30000-34999,10
35000-39999,13
40000-44999,9
45000-49999,8
50000-54998,8
54999-59998,9
59999-64998,13
64999-69998,10
69999-74998,8
74999-79998,12
79999-84998,17
84999-89998,26
89999-94998,45
94999-99998,826
