count_bin,occurrences
1-4999,10349
5000-9999,54
10000-14999,34
15000-19999,25
20000-24999,23
25000-29999,17
30000-34999,24
35000-39999,13
40000-44999,20
45000-49999,18
50000-54998,18
54999-59998,19
59999-64998,12
64999-69998,24
69999-74998,17
74999-79998,23
79999-84998,24
84999-89998,34
89999-94998,54
94999-99998,928
