count_bin,occurrences
1-4999,10167
5000-9999,16
10000-14999,12
15000-19999,8
20000-24999,11
25000-29999,11
30000-34999,4
35000-39999,3
40000-44999,2
45000-49999,1
50000-54998,1
54999-59998,2
59999-64998,3
64999-69998,4
69999-74998,11
74999-79998,11
79999-84998,8
84999-89998,12
89999-94998,16
94999-99998,584
