k,m,d,N,u,empirical_piT,empirical_piT_se,empirical_pi_s,empirical_pi_s_se,empirical_T_T,empirical_T_s,exact_T,exact_T_s,FST,exact_pi,exact_pi_s,exact_pi_s_var,exact_pi_T_var
2,1.8241167512429113e-05,100,10000000000.0,1e-06,0.00027,3.6737385590158704e-05,5e-06,4.9999874999843735e-06,100.968965,2.003995,101.00364816655525,2.0036481667537105,0.9801626158745307,0.00020200729633311048,4.007296333507421e-06,4.007303288575888e-06,0.00020204670528817896
2,3.769778120311598e-05,100,10000000000.0,1e-06,0.00021,3.240030092452846e-05,5e-06,4.9999874999843735e-06,100.85284,2.00598,101.00753927161571,2.007539271814559,0.9801248571513443,0.0002020150785432314,4.015078543629117e-06,4.01508865066681e-06,0.0002020544906502691
2,7.79074424194442e-05,100,10000000000.0,1e-06,0.000215,3.2783667808834335e-05,0.0,0.0,101.13815,2.012565,101.01558027416718,2.0155802743668247,0.9800468376373592,0.00020203116054833434,4.031160548733649e-06,4.0311771697270254e-06,0.00020207057916932773
2,0.00016100601655137526,100,10000000000.0,1e-06,0.000215,3.278366780883433e-05,5e-06,4.999987499984374e-06,101.05313,2.035965,101.03219601831503,2.0321960185162973,0.9798856592392795,0.00020206439203663006,4.064392037032594e-06,4.064422119954087e-06,0.00020210382411955154
2,0.000332740192216499,100,10000000000.0,1e-06,0.000175,2.9577810517345594e-05,5e-06,4.9999874999843735e-06,100.885655,2.05807,101.06652589481808,2.066525895022754,0.9795528155665167,0.00020213305178963615,4.133051790045508e-06,4.133109693723415e-06,0.00020217251169331405
2,0.0006876515417729402,100,10000000000.0,1e-06,0.00023,3.390774985161947e-05,0.0,0.0,101.01839,2.13903,101.13743573498654,2.1374357351982267,0.9788660279977929,0.00020227487146997307,4.274871470396453e-06,4.274986868896449e-06,0.00020231438886847305
2,0.0014211227076380076,100,10000000000.0,1e-06,0.00021,3.240030092452846e-05,1e-05,7.071032456438028e-06,100.93895,2.248325,101.28382062309397,2.283820623320156,0.9774512788985429,0.00020256764124618794,4.567641246640311e-06,4.567875463561946e-06,0.00020260727746310953
2,0.0029369377184225672,100,10000000000.0,1e-06,0.00024,3.463685897999413e-05,1e-05,7.071032456438029e-06,101.730215,2.53795,101.58566242247741,2.5856624227334875,0.9745469748281981,0.00020317132484495482,5.1713248454669745e-06,5.171804604031441e-06,0.00020321120660351925
2,0.006069569584339014,100,10000000000.0,1e-06,0.000235,3.427424506827248e-05,5e-06,4.9999874999843735e-06,101.95644,3.218885,102.20654598111726,3.206545981434797,0.9686268041772275,0.0002044130919622345,6.4130919628695944e-06,6.414079088127536e-06,0.00020445348108749233
2,0.012543566963660348,100,10000000000.0,1e-06,0.000235,3.427424506827248e-05,1e-05,7.0710324564380276e-06,103.554045,4.51175,103.47724517714784,4.477245177591161,0.9567320798893869,0.00020695449035429566,8.954490355182322e-06,8.956525470751005e-06,0.00020699592746986414
2,0.02592293736574172,100,10000000000.0,1e-06,0.000185,3.04109992436947e-05,1e-05,7.071032456438028e-06,106.27431,7.05201,106.050187734871,7.050187735569064,0.9335202710513368,0.000212100375469742,1.4100375471138126e-05,1.4104572140788735e-05,0.0002121439741393922
2,0.05357317289531737,100,10000000000.0,1e-06,0.00021,3.240030092452846e-05,5.5e-05,1.658266790959766e-05,111.14638,12.022355,111.1406176046959,12.140617605897917,0.8907634502349125,0.0002222812352093918,2.4281235211795835e-05,2.4289864440558405e-05,0.00022232926643815355
2,0.11071603551627271,100,10000000000.0,1e-06,0.00024,3.4636858979994134e-05,5.5e-05,1.6582667909597663e-05,121.04715,21.40982,120.69159899245336,21.691598994600945,0.8202725030102775,0.00024138319798490672,4.3383197989201885e-05,4.340070322067122e-05,0.00024144010521637448
2,0.22880930618750026,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,0.00011,2.3450788899309974e-05,136.230895,37.220575,136.29112150563273,37.29112150932468,0.7263862744882946,0.00027258224301126546,7.458224301864936e-05,7.461581468010062e-05,0.0002726552166727139
2,0.4728646429027017,100,10000000000.0,1e-06,0.000315,3.9680018586185176e-05,6.5e-05,1.8027170465716465e-05,151.26598,51.286375,150.8527344611513,51.85273446628483,0.656269177675143,0.0003017054689223026,0.00010370546893256965,0.00010375579482802058,0.0003017951968177496
2,0.9772372209558107,100,10000000000.0,1e-06,0.00015,2.7384073838638397e-05,1.5e-05,8.660189085695535e-06,105.529655,6.476115,105.44892698511792,6.448926985756467,0.9388431236795173,0.00021089785397023584,1.2897853971512933e-05,1.290154077417684e-05,0.0002109409427728994
5,1e-06,100,10000000000.0,1e-06,0.000225,3.353724608550916e-05,1e-05,7.071032456438029e-06,103.836545,5.0048,104.00079999670444,5.0007999971995964,0.9519157545195993,0.00020800159999340888,1.0001599994399192e-05,1.0001670661601015e-05,0.0002080410726606107
5,2.06663203862525e-06,100,10000000000.0,1e-06,0.00018,2.9997299878489066e-05,5e-06,4.9999874999843735e-06,103.94013,4.98758,104.00165329971803,5.001653300213292,0.9519079443304691,0.00020800330659943606,1.0003306600426583e-05,1.0003377979291494e-05,0.00020804277997830097
5,4.2709679830723475e-06,100,10000000000.0,1e-06,0.000205,3.201233941779327e-05,1e-05,7.071032456438027e-06,104.011485,4.991835,104.00341675729638,5.003416757791799,0.9518918040022875,0.00020800683351459274,1.0006833515583597e-05,1.0006906365207891e-05,0.00020804630836421703
5,8.826519269759978e-06,100,10000000000.0,1e-06,0.000195,3.1221945407037024e-05,2e-05,9.999899999499994e-06,103.894085,5.01987,104.00706115059049,5.00706115108629,0.9518584498427791,0.00020801412230118097,1.001412230217258e-05,1.0014198191373626e-05,0.000208053600190382
5,1.8241167512429113e-05,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,1e-05,7.071032456438028e-06,104.198805,5.00333,104.01459266531388,5.01459266581042,0.9517895274373107,0.00020802918533062775,1.0029185331620839e-05,1.0029267502757507e-05,0.00020806866950176444
5,3.769778120311598e-05,100,10000000000.0,1e-06,0.000175,2.9577810517345594e-05,5e-06,4.9999874999843735e-06,104.164015,5.04241,104.03015708555101,5.030157086049098,0.9516471259202997,0.000208060314171102,1.0060314172098195e-05,1.006040932674736e-05,0.00020809981132575116
5,7.79074424194442e-05,100,10000000000.0,1e-06,0.00019,3.081914177909566e-05,5e-06,4.999987499984374e-06,104.26396,5.083395,104.06232109574715,5.0623210962484135,0.9513529869126156,0.0002081246421914943,1.0124642192496827e-05,1.0124764183828374e-05,0.00020816416618282582
5,0.00016100601655137526,100,10000000000.0,1e-06,0.000225,3.353724608550917e-05,1.5e-05,8.660189085695533e-06,104.23577,5.14984,104.12878407231833,5.128784072826155,0.9507457604684583,0.00020825756814463664,1.025756814565231e-05,1.0257745617911997e-05,0.0002082971476168963
5,0.000332740192216499,100,10000000000.0,1e-06,0.000185,3.0410999243694697e-05,1.5e-05,8.660189085695535e-06,104.309185,5.230715,104.26610357828889,5.266103578810334,0.9494936187496807,0.00020853220715657777,1.0532207157620668e-05,1.0532499371251454e-05,0.00020857190137020854
5,0.0006876515417729402,100,10000000000.0,1e-06,0.0002,3.1619614165893926e-05,0.0,0.0,104.578795,5.523825,104.54974293887659,5.549742939426108,0.9469176797242755,0.00020909948587775318,1.1099485878852214e-05,1.1100015573334494e-05,0.00020913941757223542
5,0.0014211227076380076,100,10000000000.0,1e-06,0.000285,3.7743792535991926e-05,5e-06,4.9999874999843735e-06,105.48224,6.12463,105.13528249112817,6.135282491735667,0.9416439244146855,0.00021027056498225632,1.2270564983471334e-05,1.2271586964536385e-05,0.0002103109889633213
5,0.0029369377184225672,100,10000000000.0,1e-06,0.000215,3.2783667808834335e-05,1.5e-05,8.660189085695532e-06,106.216,7.254695,106.34264968829301,7.342649689020011,0.9309529176624575,0.000212685299376586,1.468529937804002e-05,1.468734509991252e-05,0.00021272674709845832
5,0.006069569584339014,100,10000000000.0,1e-06,0.000215,3.2783667808834335e-05,1.5e-05,8.660189085695533e-06,109.337455,9.868335,108.82618392208649,9.826183923059386,0.9097075394089497,0.00021765236784417296,1.965236784611877e-05,1.9656556051717217e-05,0.000217695958049771
5,0.012543566963660348,100,10000000000.0,1e-06,0.00025,3.535091936569684e-05,3e-05,1.2247265000807319e-05,114.15103,15.01897,113.90898070461249,14.908980706088585,0.8691149669335521,0.00022781796140922497,2.9817961412177167e-05,2.98266882536821e-05,0.0002278660902507291
5,0.02592293736574172,100,10000000000.0,1e-06,0.00023,3.3907749851619476e-05,3.5e-05,1.3228525050057542e-05,123.553575,25.47986,124.2007509321544,25.20075093464938,0.7970966298874032,0.00024840150186430883,5.040150186929876e-05,5.0420051576932824e-05,0.00024845945357194126
5,0.05357317289531737,100,10000000000.0,1e-06,0.000295,3.840006347651003e-05,8.5e-05,2.0614651949523677e-05,145.340535,45.68784,144.56247040435642,45.56247040886724,0.6848250428937454,0.0002891249408087128,9.112494081773449e-05,9.116542117407843e-05,0.0002892048231650536
5,0.11071603551627271,100,10000000000.0,1e-06,0.000435,4.6626750637375544e-05,0.00017,2.9152281214340664e-05,182.35384,84.101915,182.76639594039136,83.7663959486844,0.541675068232978,0.0003655327918807827,0.0001675327918973688,0.0001676233696521096,0.00036566277163551725
5,0.22880930618750026,100,10000000000.0,1e-06,0.000415,4.554271484002683e-05,0.000255,3.570258919182194e-05,245.597145,146.30209,245.16448596390975,146.16448597838024,0.4038105258039011,0.0004903289719278195,0.0002923289719567605,0.00029252648278645826,0.0004905658847575061
5,0.4728646429027017,100,10000000000.0,1e-06,0.00056,5.290020793909981e-05,0.00051,5.048464618079441e-05,305.119595,203.99619,303.41093775345706,204.41093777369403,0.32629014864390804,0.000606821875506914,0.00040882187554738803,0.0004091473131578762,0.0006071867151173864
5,0.9772372209558107,100,10000000000.0,1e-06,0.00024,3.463685897999413e-05,5e-05,1.581099301119319e-05,121.982645,22.836035,121.79570793393938,22.795707936196266,0.8128365250066086,0.00024359141586787877,4.559141587239253e-05,4.5607594241696464e-05,0.00024364699623718127
