m,k,piT,piT_se,piS,piS_se,FST,num_replicates
0.001,10,0.00020888539087462405,2.5564168671155196e-05,2.2544503531843797e-05,1.74193945946299e-06,0.8920723778841224,104478
0.1,10,0.0005058514474244924,4.0412494073322685e-05,0.00031816451701071675,2.5309426324718452e-05,0.3710317156733872,97321
0.4,10,0.0010532225375284635,5.802296004454305e-05,0.0008600016907744869,4.737952863212894e-05,0.18345680980906165,105360
0.8,10,0.0007944793489061895,5.2355095056352664e-05,0.0005968596494591535,3.920373315060958e-05,0.24874114062135366,99104
